id,flight,tailnum,airline
1,9E-3331,N0EGMQ,Endeavor Air Inc.
2,9E-3338,N10156,Endeavor Air Inc.
3,9E-3359,N103US,Endeavor Air Inc.
4,9E-3422,N104UW,Endeavor Air Inc.
5,9E-3452,N107US,Endeavor Air Inc.
6,9E-3453,N108UW,Endeavor Air Inc.
7,9E-3483,N109UW,Endeavor Air Inc.
8,9E-3521,N110UW,Endeavor Air Inc.
9,9E-3523,N11109,Endeavor Air Inc.
10,9E-3525,N11119,Endeavor Air Inc.
11,9E-3793,N11140,Endeavor Air Inc.
12,9E-3798,N11150,Endeavor Air Inc.
13,9E-3856,N11155,Endeavor Air Inc.
14,AA-1,N11164,American Airlines Inc.
15,AA-1039,N11184,American Airlines Inc.
16,AA-1073,N11187,American Airlines Inc.
17,AA-1141,N11191,American Airlines Inc.
18,AA-117,N11192,American Airlines Inc.
19,AA-119,N11194,American Airlines Inc.
20,AA-133,N111US,American Airlines Inc.
21,AA-1351,N11206,American Airlines Inc.
22,AA-1467,N112US,American Airlines Inc.
23,AA-1611,N113UW,American Airlines Inc.
24,AA-1623,N114UW,American Airlines Inc.
25,AA-1709,N11535,American Airlines Inc.
26,AA-1762,N11544,American Airlines Inc.
27,AA-1769,N11565,American Airlines Inc.
28,AA-177,N117UW,American Airlines Inc.
29,AA-179,N118US,American Airlines Inc.
30,AA-1790,N1201P,American Airlines Inc.
31,AA-181,N12114,American Airlines Inc.
32,AA-1813,N12116,American Airlines Inc.
33,AA-1815,N12125,American Airlines Inc.
34,AA-1837,N12126,American Airlines Inc.
35,AA-1838,N12142,American Airlines Inc.
36,AA-185,N12160,American Airlines Inc.
37,AA-1850,N12167,American Airlines Inc.
38,AA-1871,N12175,American Airlines Inc.
39,AA-1895,N12195,American Airlines Inc.
40,AA-19,N12216,American Airlines Inc.
41,AA-1925,N12218,American Airlines Inc.
42,AA-1999,N12221,American Airlines Inc.
43,AA-2041,N12225,American Airlines Inc.
44,AA-2099,N12238,American Airlines Inc.
45,AA-21,N123UW,American Airlines Inc.
