id,start_date,flight,origin,destination,air_time,distance,airport
1,1/1/2019,AA-1141,JFK,MIA,160,1089,Miami Intl
2,1/1/2019,DL-461,LGA,ATL,116,762,Hartsfield Jackson Atlanta Intl
3,1/1/2019,UA-1696,EWR,ORD,150,719,Chicago Ohare Intl
4,1/1/2019,B6-507,EWR,FLL,158,1065,Fort Lauderdale Hollywood Intl
5,1/1/2019,B6-79,JFK,MCO,140,944,Orlando Intl
6,1/1/2019,AA-301,LGA,ORD,138,733,Chicago Ohare Intl
7,1/1/2019,UA-194,JFK,LAX,345,2475,Los Angeles Intl
8,1/1/2019,UA-1124,EWR,SFO,361,2565,San Francisco Intl
9,1/1/2019,B6-1806,JFK,BOS,44,187,General Edward Lawrence Logan Intl
10,1/1/2019,B6-371,LGA,FLL,152,1076,Fort Lauderdale Hollywood Intl
11,1/1/2019,MQ-4650,LGA,ATL,134,762,Hartsfield Jackson Atlanta Intl
12,1/1/2019,AA-1895,EWR,MIA,152,1085,Miami Intl
13,1/1/2019,DL-1743,JFK,ATL,128,760,Hartsfield Jackson Atlanta Intl
14,1/1/2019,UA-1077,EWR,MIA,157,1085,Miami Intl
15,1/1/2019,MQ-3768,EWR,ORD,139,719,Chicago Ohare Intl
16,1/1/2019,UA-303,JFK,SFO,366,2586,San Francisco Intl
17,1/1/2019,DL-575,EWR,ATL,120,746,Hartsfield Jackson Atlanta Intl
18,1/1/2019,AA-1837,LGA,MIA,153,1096,Miami Intl
19,1/1/2019,UA-1665,EWR,LAX,366,2454,Los Angeles Intl
20,1/1/2019,AA-303,LGA,ORD,140,733,Chicago Ohare Intl
21,1/1/2019,US-1019,EWR,CLT,91,529,Charlotte Douglas Intl
22,1/1/2019,B6-389,LGA,MCO,144,950,Orlando Intl
23,1/1/2019,B6-1002,JFK,BOS,41,187,General Edward Lawrence Logan Intl
24,1/1/2019,US-926,EWR,CLT,91,529,Charlotte Douglas Intl
25,1/1/2019,UA-1701,EWR,FLL,151,1065,Fort Lauderdale Hollywood Intl
26,1/1/2019,DL-1865,JFK,SFO,362,2586,San Francisco Intl
27,1/1/2019,DL-2003,LGA,MIA,161,1096,Miami Intl
